ANIMAL,GROUP,LACTATION DAY,ALL PUPS GATHERED,ALL PUPS NESTED,PUPS PARTIALLY GATHERED,PUP RETRIEVAL,PUP INTERACTION,MATERNAL CROUCHING,NEST BUILDING,SOLO TIME,TIME WITH PUPS,PUPS GROUPED,INITIATED PUP RETRIEVAL (s),COMPLETED PUP RETRIEVAL (s),NEST SCORE,Litter Weight (g),Litter Count,Average Pup Weight (g),Litter Weight Gain,SURGERY ID,BLINDED ANIMAL ID,TOTAL CELLS COUNTED PER LHB,AVERAGE CELLS PER SECTION,TOTAL MEASURED LHB VOLUME (UM^3),"TOTAL MEASURED LHB VOLUME (100,000 UM^3)",AVERAGE VOLUME PER SECTION (UM^3),"AVERAGE VOLUME PER SECTION (100,000 UM^3)","CELLS PER 100,000 UM^3","CELLS PER 100,000 UM^3 NORMALIZED BY SECTION NUMBER",NUMBER OF SECTIONS COUNTED,HIPPOCAMPUS,MH,PVT,CL,TOTAL,ANT MB
C2F5,DREADD,LD1,0,0,0,1,14,0,0,29,0,0,16,1800,0,13.7,11,1.25,40,210614A,ANIMAL N,2259,205.36,123130000,1231.3,11193636,111.936,1.835,0.167,11,1.7,0.3,0.3,0.3,2.4,3
C3F1,DREADD,LD1,0,0,0,0,10,0,10,23,1,0,1800,1800,1,11.2,9,1.24,37.1,210709B,ANIMAL O,881,125.86,51650000,516.5,7378571,73.785,1.706,0.244,7,1.7,0.3,0.6,0.4,3,NA
C3F2,CONTROL,LD1,0,0,3,1,6,0,24,10,2,3,1587,1800,3,9.3,6,1.55,69.68,210707A,ANIMAL R,6501,650.1,90420000,904.2,9042000,90.42,7.19,0.719,10,2.9,1.9,1.4,1.2,7.4,NA
C3F3,CONTROL,LD1,1,0,0,2,13,0,22,15,1,1,12,1442,3,12.4,9,1.38,65.94,210706A,ANIMAL I,972,88.36,66150000,661.5,6013636,60.136,1.469,0.134,11,3,0.4,0.1,0.4,3.9,NA
C3F4,DREADD,LD1,0,0,0,1,16,0,3,30,0,0,12,1800,0,9.8,7,1.4,50.71,210709A,ANIMAL T,1695,188.33,74170000,741.7,8241111,82.411,2.285,0.254,9,0.4,0.1,0.3,0,0.8,2
C3F6,CONTROL,LD1,0,0,1,0,14,0,10,24,0,1,1800,1800,1,10.8,7,1.54,42.21,210707B,ANIMAL D,2259,251,68580000,685.8,7620000,76.2,3.294,0.366,9,2.8,1.7,1.8,0.7,7,3
C3F7,CONTROL,LD1,0,0,1,0,9,0,13,28,0,1,1800,1800,1,10,7,1.43,54.55,210713A,ANIMAL B,3081,385.13,60140000,601.4,7517500,75.175,5.123,0.64,8,1.7,1.7,2.2,1.6,7.2,2
C3F8,CONTROL,LD1,0,0,0,0,10,0,9,26,0,0,1800,1800,2,14.4,10,1.44,54.17,210713B,ANIMAL S,10160,1016,103170000,1031.7,10317000,103.17,9.848,0.985,10,2,2.3,2,1.9,8.2,3
C4F1,DREADD,LD1,11,8,4,0,4,0,24,15,10,15,785,1031,4,8.9,7,1.27,64.57,210813A,ANIMAL P,5121,569,107010000,1070.1,11890000,118.9,4.786,0.532,9,2.1,0.2,1.6,0.5,4.5,3
C4F2,CONTROL,LD1,0,0,0,0,11,0,20,28,0,0,1800,1800,1,7.5,5,1.5,72,210817A,ANIMAL L,8960,896,135550000,1355.5,13555000,135.55,6.61,0.661,10,2.9,1.6,1.7,1.9,8.2,NA
C4F3,CONTROL,LD1,0,0,8,0,16,0,21,22,3,8,1800,1800,1,10,7,1.43,60.84,210817B,ANIMAL F,5754,575.4,101490000,1014.9,10149000,101.49,5.67,0.567,10,2.4,2.2,2.5,2.5,9.5,NA
C4F4,DREADD,LD1,0,0,1,0,20,1,9,28,1,1,25,1800,0,11.2,8,1.4,65,210816A,ANIMAL G,3546,394,99490000,994.9,11054444,110.544,3.564,0.396,9,2.1,0,1.4,1,4.5,3
C4F7,CONTROL,LD1,0,0,0,0,8,0,1,15,0,0,23,NA,NA,10.9,8,1.36,50,210819A,ANIMAL J,4637,515.22,86020000,860.2,9557778,95.578,5.391,0.599,9,2.8,0.9,0.5,1.5,5.7,3
C4F8,DREADD,LD1,0,0,0,0,13,0,4,30,0,0,1800,1800,0,8.7,7,1.24,66.13,210816B,ANIMAL W,2054,228.22,99390000,993.9,11043333,110.433,2.067,0.23,9,2,0.1,0.3,0,2.4,2
C5F1,CONTROL,LD1,5,2,7,3,14,0,19,20,6,12,19,1016,3,13.7,10,1.37,59.85,210818B,ANIMAL H,6279,697.67,108050000,1080.5,12005556,120.056,5.811,0.646,9,1.9,0.4,1.1,1.7,5.1,3
C5F2,DREADD,LD1,0,0,0,0,13,0,0,30,0,0,1800,1800,0,4.4,4,1.1,45.45,210929B,ANIMAL M,3759,417.67,108510000,1085.1,12056667,120.567,3.464,0.385,9,2.3,0,1.2,0.8,4.3,3
C5F3,DREADD,LD1,0,0,0,0,22,0,2,30,0,0,1800,1800,0,12.7,9,1.41,44.68,210930A,ANIMAL Q,3272,297.45,144760000,1447.6,13160000,131.6,2.26,0.205,11,2.5,0.3,0.7,1.3,4.8,3
C5F5,DREADD,LD1,8,4,8,2,17,0,13,14,14,16,580,933,4,11.5,8,1.44,70.83,210923B,ANIMAL A,1223,122.3,94745000,947.45,9474500,94.745,1.291,0.129,10,2.4,0.6,0.5,0.5,4,1
C6F1,DREADD,LD1,0,0,2,0,17,0,17,16,2,2,1800,1800,2,15.1,11,1.37,39.42,210923A,ANIMAL E,2258,250.89,104971000,1049.71,11663444,116.634,2.151,0.239,9,1.7,0.2,0.2,0.7,2.7,2
C6F2,CONTROL,LD1,0,0,0,0,16,0,20,22,0,0,1800,1800,1,10.9,8,1.36,69.85,210915A,ANIMAL C,4250,472.22,89280000,892.8,9920000,99.2,4.76,0.529,9,2.3,1.6,0.9,1.7,6.5,3
