ANIMAL ID,GROUP,AP,PUPS GATHERED IN NEST,CROUCHING OVER PUPS,RESTING WITH PUPS,PUP INTERACTION,NEST BUILDING,SOLO ACTIVITY,SOLO REST,NO MILK SPOTS ON VISIBLE PUPS,PALE-COLORED OR DEAD PUPS VISIBLE,AVERAGE,HEMI-1,HEMI-2
101,SAL,10,30,26,5,17,4,5,0,0,0,125,123,127
101,SAL,20,30,26,5,17,4,5,0,0,0,238.5,249,228
101,SAL,30,30,26,5,17,4,5,0,0,0,300.5,298,303
101,SAL,40,30,26,5,17,4,5,0,0,0,321,347,295
101,SAL,50,30,26,5,17,4,5,0,0,0,301,319,283
101,SAL,60,30,26,5,17,4,5,0,0,0,405,377,433
101,SAL,70,30,26,5,17,4,5,0,0,0,483.5,550,417
101,SAL,80,30,26,5,17,4,5,0,0,0,673,694,652
101,SAL,90,30,26,5,17,4,5,0,0,0,710.5,687,734
101,SAL,100,30,26,5,17,4,5,0,0,0,896.5,765,1028
102,SAL,10,30,30,11,17,1,0,0,0,0,78,51,105
102,SAL,20,30,30,11,17,1,0,0,0,0,208,254,162
102,SAL,30,30,30,11,17,1,0,0,0,0,261.5,211,312
102,SAL,40,30,30,11,17,1,0,0,0,0,573.5,529,618
102,SAL,50,30,30,11,17,1,0,0,0,0,561.75,577.5,546
102,SAL,60,30,30,11,17,1,0,0,0,0,550,626,474
102,SAL,70,30,30,11,17,1,0,0,0,0,474.5,569,380
102,SAL,80,30,30,11,17,1,0,0,0,0,942.5,1016,869
102,SAL,90,30,30,11,17,1,0,0,0,0,847.5,827,868
102,SAL,100,30,30,11,17,1,0,0,0,0,1135,1338,932
104,KA,10,0,0,0,1,2,21,9,30,0,205,171,239
104,KA,20,0,0,0,1,2,21,9,30,0,221,224,218
104,KA,30,0,0,0,1,2,21,9,30,0,237,277,197
104,KA,40,0,0,0,1,2,21,9,30,0,383.5,353,414
104,KA,50,0,0,0,1,2,21,9,30,0,386.5,373,400
104,KA,60,0,0,0,1,2,21,9,30,0,264,247,281
104,KA,70,0,0,0,1,2,21,9,30,0,391.75,397.5,386
104,KA,80,0,0,0,1,2,21,9,30,0,519.5,548,491
104,KA,90,0,0,0,1,2,21,9,30,0,232,190,274
104,KA,100,0,0,0,1,2,21,9,30,0,392,644,140
107,KA,10,0,0,0,1,0,11,21,30,30,208,285,131
107,KA,20,0,0,0,1,0,11,21,30,30,250.5,275.5,225.5
107,KA,30,0,0,0,1,0,11,21,30,30,293,266,320
107,KA,40,0,0,0,1,0,11,21,30,30,298.5,145,452
107,KA,50,0,0,0,1,0,11,21,30,30,210.5,161,260
107,KA,60,0,0,0,1,0,11,21,30,30,236.5,308,165
107,KA,70,0,0,0,1,0,11,21,30,30,189,218,160
107,KA,80,0,0,0,1,0,11,21,30,30,141.5,128,155
107,KA,90,0,0,0,1,0,11,21,30,30,226,304,148
107,KA,100,0,0,0,1,0,11,21,30,30,471.5,867,76
301,SAL,10,29,29,14,11,3,5,0,0,0,178,158,198
301,SAL,20,29,29,14,11,3,5,0,0,0,257,252,262
301,SAL,30,29,29,14,11,3,5,0,0,0,279.5,290,269
301,SAL,40,29,29,14,11,3,5,0,0,0,475.5,462,489
301,SAL,50,29,29,14,11,3,5,0,0,0,414,365,463
301,SAL,60,29,29,14,11,3,5,0,0,0,368,325,411
301,SAL,70,29,29,14,11,3,5,0,0,0,626.5,537,716
301,SAL,80,29,29,14,11,3,5,0,0,0,741,712,770
301,SAL,90,29,29,14,11,3,5,0,0,0,562.5,531,594
301,SAL,100,29,29,14,11,3,5,0,0,0,882.5,886,879
302,SAL,10,30,29,22,3,1,1,0,0,0,63.5,59,68
302,SAL,20,30,29,22,3,1,1,0,0,0,142.5,159,126
302,SAL,30,30,29,22,3,1,1,0,0,0,280,314,246
302,SAL,40,30,29,22,3,1,1,0,0,0,399,439,359
302,SAL,50,30,29,22,3,1,1,0,0,0,478.25,513.5,443
302,SAL,60,30,29,22,3,1,1,0,0,0,445.5,451,440
302,SAL,70,30,29,22,3,1,1,0,0,0,423.5,412,435
302,SAL,80,30,29,22,3,1,1,0,0,0,654.5,628,681
302,SAL,90,30,29,22,3,1,1,0,0,0,824.5,731,918
302,SAL,100,30,29,22,3,1,1,0,0,0,473,462,484
303,KA,10,2,0,0,1,8,14,13,29,30,133,226,40
303,KA,20,2,0,0,1,8,14,13,29,30,149.5,259,40
303,KA,30,2,0,0,1,8,14,13,29,30,213.5,340,87
303,KA,40,2,0,0,1,8,14,13,29,30,258.5,360,157
303,KA,50,2,0,0,1,8,14,13,29,30,222,311.5,132.5
303,KA,60,2,0,0,1,8,14,13,29,30,185.5,263,108
303,KA,70,2,0,0,1,8,14,13,29,30,282.5,395,170
303,KA,80,2,0,0,1,8,14,13,29,30,134.5,161,108
303,KA,90,2,0,0,1,8,14,13,29,30,125.5,188,63
303,KA,100,2,0,0,1,8,14,13,29,30,508.5,893,124
304,SAL,10,30,28,5,6,3,1,0,0,0,108,140,76
304,SAL,20,30,28,5,6,3,1,0,0,0,221,180,262
304,SAL,30,30,28,5,6,3,1,0,0,0,362.5,326,399
304,SAL,40,30,28,5,6,3,1,0,0,0,313.5,313,314
304,SAL,50,30,28,5,6,3,1,0,0,0,338.5,341,336
304,SAL,60,30,28,5,6,3,1,0,0,0,347,343,351
304,SAL,70,30,28,5,6,3,1,0,0,0,583,623,543
304,SAL,80,30,28,5,6,3,1,0,0,0,644.5,614,675
304,SAL,90,30,28,5,6,3,1,0,0,0,765.5,834,697
304,SAL,100,30,28,5,6,3,1,0,0,0,575.5,695,456
305,SAL,10,30,25,15,6,2,6,1,0,0,145.5,140,151
305,SAL,20,30,25,15,6,2,6,1,0,0,303,310,296
305,SAL,30,30,25,15,6,2,6,1,0,0,320.5,344,297
305,SAL,40,30,25,15,6,2,6,1,0,0,414,405,423
305,SAL,50,30,25,15,6,2,6,1,0,0,351.25,336,366.5
305,SAL,60,30,25,15,6,2,6,1,0,0,288.5,267,310
305,SAL,70,30,25,15,6,2,6,1,0,0,533.5,489,578
305,SAL,80,30,25,15,6,2,6,1,0,0,518,533,503
305,SAL,90,30,25,15,6,2,6,1,0,0,749.5,781,718
305,SAL,100,30,25,15,6,2,6,1,0,0,632,838,426
306,KA,10,30,27,12,7,3,4,0,0,0,29,25,33
306,KA,20,30,27,12,7,3,4,0,0,0,119,125,113
306,KA,30,30,27,12,7,3,4,0,0,0,133.5,143,124
306,KA,40,30,27,12,7,3,4,0,0,0,335.5,337,334
306,KA,50,30,27,12,7,3,4,0,0,0,322.5,310,335
306,KA,60,30,27,12,7,3,4,0,0,0,584,581,587
306,KA,70,30,27,12,7,3,4,0,0,0,651,645,657
306,KA,80,30,27,12,7,3,4,0,0,0,976,912,1040
306,KA,90,30,27,12,7,3,4,0,0,0,628.5,617,640
306,KA,100,30,27,12,7,3,4,0,0,0,891,1063,719
308,KA,10,0,0,0,0,1,19,12,30,30,172.5,170,175
308,KA,20,0,0,0,0,1,19,12,30,30,197.5,195,200
308,KA,30,0,0,0,0,1,19,12,30,30,213.5,233,194
308,KA,40,0,0,0,0,1,19,12,30,30,364,384,344
308,KA,50,0,0,0,0,1,19,12,30,30,328.25,365.5,291
308,KA,60,0,0,0,0,1,19,12,30,30,292.5,347,238
308,KA,70,0,0,0,0,1,19,12,30,30,400.5,436,365
308,KA,80,0,0,0,0,1,19,12,30,30,129.5,114,145
308,KA,90,0,0,0,0,1,19,12,30,30,129.5,106,153
308,KA,100,0,0,0,0,1,19,12,30,30,156,174,138
